480;01-05-2019 12:00:00;Withdrawal 6678 50 550
480;05-05-2019 12:02:01;Transfer 6678 50 500
480;05-05-2019 12:10:10;Transfer 6678 20 570
480;12-05-2019 12:30:05;Withdrawal 6678 50 450
480;12-05-2019 12:55:50;Transfer 6678 100000 100670
720;05-05-2019 13:00:00;6691 -50 550
720;05-05-2019 13:02:01;6691 +50 500
720;23-05-2019 13:10:10;6691 +20 570
720;24-05-2019 13:30:05;6691 -50 450
720;25-05-2019 13:55:50;6691 +10000 10450
420;26-05-2019 13:55:50;9002 +686 9990
1060;29-05-2019 13:55:50;6682 +10000 88878
